1,1,61.53,59.39,113.19,63.09,1,1,1.0
1,2,95.86,2.61,219.89,59.38,1,1,1.0
1,3,313.9,3.54,394.33000000000004,117.86,1,1,1.0
1,4,1.22,8.18,20.41,38.96,1,1,1.0
2,1,40.65,56.61,113.19999999999999,63.09,1,1,1.0
2,2,95.86,2.61,219.89,59.38,1,1,1.0
2,3,313.9,3.54,394.33000000000004,117.66999999999999,1,1,1.0
2,4,1.22,8.18,11.18,38.96,1,1,1.0
3,1,19.77,53.83,113.2,63.09,1,1,1.0
3,2,95.86,2.61,219.89,59.38,1,1,1.0
3,3,313.9,3.54,394.33000000000004,117.47999999999999,1,1,1.0
4,1,9.89,51.04,105.45,63.089999999999996,1,1,1.0
4,2,95.86,2.61,219.89,59.38,1,1,1.0
4,3,313.9,3.54,394.33000000000004,117.3,1,1,1.0
5,1,0.0,48.26,97.71,63.089999999999996,1,1,1.0
5,2,95.86,2.61,219.89,59.38,1,1,1.0
5,3,313.9,3.54,394.33000000000004,117.11,1,1,1.0
6,1,0.0,48.26,80.45,59.38,1,1,1.0
6,2,95.86,2.61,219.89,59.38,1,1,1.0
6,3,313.9,3.54,394.33000000000004,116.91999999999999,1,1,1.0
7,1,0.0,48.26,63.19,55.67000000000001,1,1,1.0
7,2,95.86,2.61,219.89,59.38,1,1,1.0
7,3,313.9,3.54,394.33000000000004,116.72999999999999,1,1,1.0
8,1,0.0,48.26,45.92,51.96,1,1,1.0
8,2,95.86,2.61,219.89,59.38,1,1,1.0
8,3,313.9,3.54,394.33000000000004,116.53999999999999,1,1,1.0
9,1,0.0,48.26,28.66,48.25000000000001,1,1,1.0
9,2,95.86,2.61,219.89,59.38,1,1,1.0
9,3,313.9,3.54,394.33000000000004,116.35,1,1,1.0
10,1,0.0,48.26,11.4,44.54,1,1,1.0
10,2,95.86,2.61,219.89,59.38,1,1,1.0
10,3,313.9,3.54,394.33000000000004,116.16999999999999,1,1,1.0
10,5,912.35,183.54,47.64999999999998,78.85999999999999,1,1,1.0
11,2,95.86,2.61,219.89,59.38,1,1,1.0
11,3,313.9,3.54,394.33000000000004,115.97999999999999,1,1,1.0
11,5,875.0,178.81,82.89999999999998,78.87,1,1,1.0
12,2,95.86,2.61,219.89,59.38,1,1,1.0
12,3,313.9,3.54,394.33000000000004,115.78999999999999,1,1,1.0
12,5,832.5,171.87,124.48000000000002,81.09,1,1,1.0
13,2,95.86,2.61,219.89,59.38,1,1,1.0
13,3,313.9,3.54,394.33000000000004,115.6,1,1,1.0
13,5,790.0,164.93,166.04999999999995,83.29999999999998,1,1,1.0
14,2,95.86,2.61,219.89,59.38,1,1,1.0
14,3,313.9,3.54,394.33000000000004,115.41,1,1,1.0
14,5,747.5,157.99,207.63,85.51999999999998,1,1,1.0
14,6,1.22,170.55,21.34,52.879999999999995,1,1,1.0
15,2,95.86,2.61,219.89,59.38,1,1,1.0
15,3,313.9,3.54,394.33000000000004,115.22999999999999,1,1,1.0
15,5,705.0,151.04,249.20000000000005,87.75,1,1,1.0
15,6,1.01,172.77,42.7,63.22999999999999,1,1,1.0
16,2,95.86,2.61,219.89,59.38,1,1,1.0
16,3,313.9,3.54,394.33000000000004,115.03999999999999,1,1,1.0
16,5,662.5,144.1,263.0,89.96000000000001,1,1,1.0
16,6,0.81,174.99,64.06,73.57999999999998,1,1,1.0
17,2,95.86,2.61,219.89,59.38,1,1,1.0
17,3,313.9,3.54,394.33000000000004,114.85,1,1,1.0
17,5,628.6,138.05,257.22,89.54999999999998,1,1,1.0
17,6,0.61,177.21,85.42,83.92999999999998,1,1,1.0
18,2,95.86,2.61,219.89,59.38,1,1,1.0
18,3,313.9,3.54,394.33000000000004,114.66,1,1,1.0
18,5,594.7,132.0,251.44999999999993,89.13999999999999,1,1,1.0
18,6,0.41,179.43,106.78,94.27999999999997,1,1,1.0
19,2,95.86,2.61,219.89,59.38,1,1,1.0
19,3,313.9,3.54,394.33000000000004,114.47,1,1,1.0
19,5,560.8,125.94,245.67000000000007,88.72999999999999,1,1,1.0
19,6,0.2,181.65,128.14000000000001,104.64000000000001,1,1,1.0
20,2,95.86,2.61,219.89,59.38,1,1,1.0
20,3,313.9,3.54,394.33000000000004,114.28999999999999,1,1,1.0
20,5,526.9,119.89,239.89999999999998,88.32000000000001,1,1,1.0
20,6,0.0,183.87,149.5,114.99000000000001,1,1,1.0
21,2,95.86,2.61,219.89,59.38,1,1,1.0
21,3,313.9,3.54,394.33000000000004,114.1,1,1,1.0
